Unnamed: 0,model,price,rating,processor,core,ram,memory,graphic_card,display,os,warrenty
828,Apple MacBook Pro 14 2023 Laptop (Apple M3 Max/ 36GB/ 1TB SSD/ macOS),"₹2,76,990",4.2,Apple M3 Max,14 Cores (10P + 4E),36 GB  RAM,1 TB SSD,30 Core GPU,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
829,Apple MacBook Pro 16 2023 Laptop (Apple M3 Pro/ 36GB/ 512GB SSD/ macOS),"₹2,50,990",4.65,Apple M3 Pro,12 Cores (6P + 6E),36 GB  RAM,512 GB SSD,18 Core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
830,Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB SSD/ macOS),"₹1,74,990",4.75,Apple M3 Pro,11 Cores (5P + 6E),18 GB  RAM,512 GB SSD,14 Core GPU,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
831,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 36GB/ 1TB SSD/ macOS),"₹3,03,990",4.0,Apple M3 Max,14 Cores (10P + 4E),36 GB  RAM,1 TB SSD,30 Core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
832,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),"₹3,69,900",4.65,Apple M3 Max,16 Cores (12P + 4E),48 GB  RAM,1 TB SSD,40 Core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
833,HP 15s-fq2510tu Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹48,500",4.45,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
834,Lenovo Yoga Slim 7i Carbon 13IRP8 83AY003CIN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹1,10,000",4.3,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,1 TB SSD,Intel Integrated Iris Xe,"13.3 inches, 2560 x 1600 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
835,Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 1TB SSD/ macOS),"₹2,05,990",4.35,Apple M3 Pro,12 Cores (6P + 6E),18 GB  RAM,1 TB SSD,18 Core GPU,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
836,Dell Inspiron 3520 IN3520P9K46002ORS1 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹34,980",4.2,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
837,Dell Inspiron 3530 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹59,065",4.25,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
838,Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home),"₹24,790",4.6,AMD Athlon Silver 7120U,"Dual Core, 2 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon 610M,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
839,Asus Chromebook CX1400FKA-EC0168 Laptop (Celeron N4500/ 8GB/ 128GB eMMC/ Chrome OS),"₹23,990",4.65,Intel Celeron N4500,"Dual Core, 2 Threads",8 GB LPDDR4X RAM,128 GB Hard Disk,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels, Touch Screen",Chrome OS,1 Year Warranty
